Country,Year,OVERALL SCORE
Australia,2021,71.1
Brazil,2021,51.2
Canada,2021,69.8
Central African Republic,2021,18.6
Denmark,2021,64.4
Egypt,2021,28
Finland,2021,70.9
France,2021,61.9
Germany,2021,65.5
Ghana,2021,34.3
Greece,2021,51.5
Guatemala,2021,29.1
Iceland,2021,48.5
India,2021,42.8
Italy,2021,51.9
Japan,2021,60.5
Mexico,2021,57
Netherlands,2021,64.7
New Zealand,2021,62.5
Norway,2021,60.2
Russia,2021,49.1
Singapore,2021,57.4
South Korea,2021,65.4
Sweden,2021,64.9
Switzerland,2021,58.8
United Kingdom,2021,67.2
United States of America,2021,75.9
